Date,JPM
2000-02-01,28.42838478088379
2000-02-02,27.961650848388672
2000-02-03,28.237449645996094
2000-02-04,27.749500274658203
2000-02-07,27.898008346557617
2000-02-08,28.87390899658203
2000-02-09,28.131383895874023
2000-02-10,28.216245651245117
2000-02-11,28.046524047851562
2000-02-14,26.837251663208008
2000-02-15,27.51613998413086
2000-02-16,26.985755920410156
2000-02-17,26.6038818359375
2000-02-18,25.37340545654297
2000-02-21,
2000-02-22,26.222002029418945
2000-02-23,26.264432907104492
2000-02-24,25.797700881958008
2000-02-25,25.75527000427246
2000-02-28,26.45537757873535
2000-02-29,27.028181076049805
2000-03-01,27.83437156677246
2000-03-02,27.346418380737305
2000-03-03,27.5373592376709
2000-03-06,28.32231330871582
2000-03-07,27.770721435546875
2000-03-08,26.816041946411133
2000-03-09,27.5373592376709
2000-03-10,26.709962844848633
2000-03-13,27.17669105529785
2000-03-14,26.816041946411133
2000-03-15,28.216245651245117
2000-03-16,30.592348098754883
2000-03-17,30.889362335205078
2000-03-20,29.383089065551758
2000-03-21,31.228801727294922
2000-03-22,31.08030128479004
2000-03-23,33.43519592285156
2000-03-24,32.65021896362305
2000-03-27,32.14105224609375
2000-03-28,31.992551803588867
2000-03-29,30.677196502685547
2000-03-30,29.531591415405273
2000-03-31,29.595232009887695
2000-04-03,31.398523330688477
2000-04-04,29.600324630737305
2000-04-05,29.472366333007812
2000-04-06,29.83489418029785
2000-04-07,29.472366333007812
2000-04-10,30.069494247436523
2000-04-11,29.34442138671875
2000-04-12,29.62165641784668
2000-04-13,28.832592010498047
2000-04-14,26.913259506225586
2000-04-17,26.827964782714844
2000-04-18,27.467737197875977
2000-04-19,26.614704132080078
2000-04-20,26.38011932373047
2000-04-21,
2000-04-24,25.50576400756836
2000-04-25,26.636024475097656
2000-04-26,26.081554412841797
2000-04-27,25.207199096679688
2000-04-28,24.61005973815918
2000-05-01,25.164541244506836
2000-05-02,25.97492218017578
2000-05-03,25.335145950317383
2000-05-04,24.993940353393555
2000-05-05,24.631389617919922
2000-05-08,24.567405700683594
2000-05-09,24.183551788330078
2000-05-10,23.458467483520508
2000-05-11,23.884984970092773
2000-05-12,24.43946647644043
2000-05-15,25.463104248046875
2000-05-16,25.335145950317383
2000-05-17,25.249839782714844
2000-05-18,25.633708953857422
2000-05-19,24.73802947998047
2000-05-22,24.631389617919922
2000-05-23,24.951292037963867
2000-05-24,24.43946647644043
2000-05-25,23.97028923034668
2000-05-26,24.055591583251953
2000-05-29,
2000-05-30,25.079248428344727
2000-05-31,25.48443031311035
2000-06-01,26.31614112854004
2000-06-02,27.531723022460938
2000-06-05,27.083858489990234
2000-06-06,26.273475646972656
2000-06-07,26.2308292388916
2000-06-08,26.102886199951172
2000-06-09,25.0152645111084
2000-06-12,24.871315002441406
2000-06-13,24.66338539123535
2000-06-14,25.623044967651367
2000-06-15,24.9832706451416
2000-06-16,23.255870819091797
2000-06-19,23.991621017456055
2000-06-20,24.53544044494629
2000-06-21,24.055591583251953
2000-06-22,23.73571014404297
2000-06-23,23.991621017456055
2000-06-26,24.34349250793457
2000-06-27,24.53544044494629
2000-06-28,24.07958984375
2000-06-29,24.37548828125
2000-06-30,23.575767517089844
2000-07-03,24.5137939453125
2000-07-04,
2000-07-05,24.61043930053711
2000-07-06,24.73927116394043
2000-07-07,25.802297592163086
2000-07-10,25.641237258911133
2000-07-11,26.124439239501953
2000-07-12,26.059995651245117
2000-07-13,26.156631469726562
2000-07-14,27.05860137939453
2000-07-17,26.81699562072754
2000-07-18,26.253278732299805
2000-07-19,26.124439239501953
2000-07-20,26.446561813354492
2000-07-21,27.179380416870117
2000-07-24,26.575407028198242
2000-07-25,26.414331436157227
2000-07-26,25.447959899902344
2000-07-27,25.705659866333008
2000-07-28,24.932552337646484
2000-07-31,25.673450469970703
2000-08-01,26.607614517211914
2000-08-02,26.510961532592773
2000-08-03,25.89893341064453
2000-08-04,27.0263729095459
2000-08-07,27.606201171875
2000-08-08,27.573991775512695
2000-08-09,26.961956024169922
2000-08-10,26.7364501953125
2000-08-11,26.80089569091797
2000-08-14,27.18744659423828
2000-08-15,26.704248428344727
2000-08-16,25.963356018066406
2000-08-17,26.124439239501953
2000-08-18,26.156631469726562
2000-08-21,26.253278732299805
2000-08-22,27.18744659423828
2000-08-23,27.99275016784668
2000-08-24,27.44515037536621
2000-08-25,26.83310317993164
2000-08-28,27.155237197875977
2000-08-29,26.7364501953125
2000-08-30,27.44515037536621
2000-08-31,28.79806900024414
2000-09-01,29.02356719970703
2000-09-04,
2000-09-05,29.44231605529785
2000-09-06,28.862499237060547
2000-09-07,29.506755828857422
2000-09-08,29.796667098999023
2000-09-11,29.635597229003906
2000-09-12,27.219650268554688
2000-09-13,26.124439239501953
2000-09-14,25.770084381103516
2000-09-15,25.319103240966797
2000-09-18,23.998394012451172
2000-09-19,24.15945816040039
2000-09-20,23.96617317199707
2000-09-21,22.99980926513672
2000-09-22,24.35273551940918
2000-09-25,24.223876953125
2000-09-26,23.740697860717773
2000-09-27,23.450775146484375
2000-09-28,24.15945816040039
2000-09-29,23.80510902404785
2000-10-02,24.481576919555664
2000-10-03,24.09503173828125
2000-10-04,23.644838333129883
2000-10-05,23.061017990112305
2000-10-06,22.25014877319336
2000-10-09,21.8284969329834
2000-10-10,21.1798095703125
2000-10-11,21.11494255065918
2000-10-12,19.622949600219727
2000-10-13,20.59598159790039
2000-10-16,20.53112030029297
2000-10-17,19.687814712524414
2000-10-18,19.13643455505371
2000-10-19,20.20676612854004
