Date,MSFT
2000-02-01,32.111263275146484
2000-02-02,31.448362350463867
2000-02-03,32.32572937011719
2000-02-04,33.2420654296875
2000-02-07,33.26157760620117
2000-02-08,34.29490661621094
2000-02-09,32.442718505859375
2000-02-10,33.06660079956055
2000-02-11,31.175411224365234
2000-02-14,31.07792091369629
2000-02-15,30.74647331237793
2000-02-16,30.454044342041016
2000-02-17,31.07792091369629
2000-02-18,29.6546688079834
2000-02-21,
2000-02-22,29.264732360839844
2000-02-23,29.401199340820312
2000-02-24,29.55718994140625
2000-02-25,28.48484230041504
2000-02-28,28.56283950805664
2000-02-29,27.880462646484375
2000-03-01,28.328876495361328
2000-03-02,29.12825584411621
2000-03-03,29.98610496520996
2000-03-06,28.270381927490234
2000-03-07,28.97226905822754
2000-03-08,29.810636520385742
2000-03-09,31.194904327392578
2000-03-10,31.506860733032227
2000-03-13,30.57101821899414
2000-03-14,29.674161911010742
2000-03-15,29.752153396606445
2000-03-16,29.752153396606445
2000-03-17,30.99994659423828
2000-03-20,30.376049041748047
2000-03-21,32.052772521972656
2000-03-22,32.20875930786133
2000-03-23,34.89931869506836
2000-03-24,34.8408203125
2000-03-27,32.46219253540039
2000-03-28,32.54018783569336
2000-03-29,33.43704605102539
2000-03-30,32.24774932861328
2000-03-31,33.14458465576172
2000-04-03,28.348373413085938
2000-04-04,27.62700080871582
2000-04-05,26.94460678100586
2000-04-06,26.82762908935547
2000-04-07,27.7829647064209
2000-04-10,26.84712028503418
2000-04-11,26.164730072021484
2000-04-12,24.760957717895508
2000-04-13,24.72197151184082
2000-04-14,23.123231887817383
2000-04-17,23.66914176940918
2000-04-18,25.13141632080078
2000-04-19,24.546497344970703
2000-04-20,24.624486923217773
2000-04-21,
2000-04-24,20.783599853515625
2000-04-25,21.6414737701416
2000-04-26,21.2125301361084
2000-04-27,21.77794647216797
2000-04-28,21.758459091186523
2000-05-01,22.908761978149414
2000-05-02,21.797449111938477
2000-05-03,22.011899948120117
2000-05-04,21.97291374206543
2000-05-05,22.18738555908203
2000-05-08,21.77794647216797
2000-05-09,21.154052734375
2000-05-10,20.647132873535156
2000-05-11,21.173540115356445
2000-05-12,21.465991973876953
2000-05-15,21.6414737701416
2000-05-16,21.680469512939453
2000-05-17,21.11505699157715
2000-05-18,20.647132873535156
2000-05-19,20.296178817749023
2000-05-22,20.023235321044922
2000-05-23,19.711288452148438
2000-05-24,20.452167510986328
2000-05-25,19.184877395629883
2000-05-26,19.16537857055664
2000-05-29,
2000-05-30,19.769771575927734
2000-05-31,19.516319274902344
2000-06-01,20.140216827392578
2000-06-02,20.68612289428711
2000-06-05,20.861602783203125
2000-06-06,21.719453811645508
2000-06-07,21.992420196533203
2000-06-08,21.465991973876953
2000-06-09,21.465991973876953
2000-06-12,20.861602783203125
2000-06-13,21.173540115356445
2000-06-14,21.992420196533203
2000-06-15,22.57731056213379
2000-06-16,22.63580894470215
2000-06-19,22.98674964904785
2000-06-20,23.37669563293457
2000-06-21,25.170391082763672
2000-06-22,24.91693878173828
2000-06-23,24.23455047607422
2000-06-26,24.799951553344727
2000-06-27,24.585493087768555
2000-06-28,24.624486923217773
2000-06-29,24.078575134277344
2000-06-30,24.9559268951416
2000-07-03,24.9559268951416
2000-07-04,
2000-07-05,24.488006591796875
2000-07-06,25.24837303161621
2000-07-07,25.579832077026367
2000-07-10,24.78046417236328
2000-07-11,24.68297004699707
2000-07-12,25.05341339111328
2000-07-13,24.93643569946289
2000-07-14,24.624486923217773
2000-07-17,24.390520095825195
2000-07-18,24.488006591796875
2000-07-19,22.811281204223633
2000-07-20,23.33769416809082
2000-07-21,22.55782127380371
2000-07-24,22.011899948120117
2000-07-25,21.524492263793945
2000-07-26,21.154052734375
2000-07-27,21.6414737701416
2000-07-28,21.73895263671875
2000-07-31,21.77794647216797
2000-08-01,21.427005767822266
2000-08-02,21.6414737701416
2000-08-03,21.914426803588867
2000-08-04,21.563488006591797
2000-08-07,21.836448669433594
2000-08-08,23.123231887817383
2000-08-09,23.1622257232666
2000-08-10,22.655309677124023
2000-08-11,22.5968074798584
2000-08-14,22.518827438354492
2000-08-15,22.343353271484375
2000-08-16,22.14838409423828
2000-08-17,22.323856353759766
2000-08-18,22.14838409423828
2000-08-21,22.031408309936523
2000-08-22,22.226375579833984
2000-08-23,22.07041358947754
2000-08-24,22.18738555908203
2000-08-25,22.031408309936523
2000-08-28,22.24587059020996
2000-08-29,22.128889083862305
2000-08-30,21.836448669433594
2000-08-31,21.77794647216797
2000-09-01,21.89493179321289
2000-09-04,
2000-09-05,21.87543296813965
2000-09-06,21.660964965820312
2000-09-07,21.85593605041504
2000-09-08,21.62198257446289
2000-09-11,21.465991973876953
2000-09-12,21.25153350830078
2000-09-13,21.290536880493164
2000-09-14,20.530153274536133
2000-09-15,20.023235321044922
2000-09-18,19.65279197692871
2000-09-19,20.27669334411621
2000-09-20,20.042734146118164
2000-09-21,20.023235321044922
2000-09-22,19.73078155517578
2000-09-25,19.106882095336914
2000-09-26,19.555309295654297
2000-09-27,18.91192054748535
2000-09-28,19.126384735107422
2000-09-29,18.814434051513672
2000-10-02,18.44399642944336
2000-10-03,17.644622802734375
2000-10-04,17.293672561645508
2000-10-05,17.274185180664062
2000-10-06,17.332674026489258
2000-10-09,16.903736114501953
2000-10-10,17.020727157592773
2000-10-11,17.39116668701172
2000-10-12,16.962230682373047
2000-10-13,16.767263412475586
2000-10-16,15.714433670043945
2000-10-17,15.733932495117188
2000-10-18,16.14336395263672
2000-10-19,19.30185317993164
