Date,WMT
2000-02-01,38.84270095825195
2000-02-02,38.6358757019043
2000-02-03,38.6358757019043
2000-02-04,37.270790100097656
2000-02-07,36.898502349853516
2000-02-08,39.38045120239258
2000-02-09,38.26357650756836
2000-02-10,37.7258186340332
2000-02-11,37.10531997680664
2000-02-14,38.966793060302734
2000-02-15,38.387672424316406
2000-02-16,34.91292953491211
2000-02-17,32.01731491088867
2000-02-18,31.6036434173584
2000-02-21,
2000-02-22,31.851850509643555
2000-02-23,31.10727310180664
2000-02-24,31.686391830444336
2000-02-25,29.452621459960938
2000-02-28,30.569496154785156
2000-02-29,32.265506744384766
2000-03-01,32.43095779418945
2000-03-02,33.465110778808594
2000-03-03,34.83019256591797
2000-03-06,33.423763275146484
2000-03-07,31.479562759399414
2000-03-08,31.975940704345703
2000-03-09,32.38961410522461
2000-03-10,31.727766036987305
2000-03-13,31.562286376953125
2000-03-14,31.6036434173584
2000-03-15,34.12849807739258
2000-03-16,36.19941329956055
2000-03-17,36.944915771484375
2000-03-20,36.530738830566406
2000-03-21,37.5247688293457
2000-03-22,36.6964111328125
2000-03-23,35.785213470458984
2000-03-24,36.77925491333008
2000-03-27,36.73784637451172
2000-03-28,36.116580963134766
2000-03-29,38.93299102783203
2000-03-30,39.098655700683594
2000-03-31,37.44193649291992
2000-04-03,40.54829406738281
2000-04-04,39.76134490966797
2000-04-05,38.601654052734375
2000-04-06,40.50688552856445
2000-04-07,40.75539779663086
2000-04-10,42.122188568115234
2000-04-11,41.99790954589844
2000-04-12,41.37664031982422
2000-04-13,39.80274963378906
2000-04-14,36.44791030883789
2000-04-17,35.785213470458984
2000-04-18,35.702369689941406
2000-04-19,36.40647888183594
2000-04-20,38.228878021240234
2000-04-21,
2000-04-24,39.01582336425781
2000-04-25,39.55426788330078
2000-04-26,38.93299102783203
2000-04-27,38.228878021240234
2000-04-28,36.6964111328125
2000-05-01,38.394561767578125
2000-05-02,38.187461853027344
2000-05-03,35.412452697753906
2000-05-04,33.79713821411133
2000-05-05,34.004234313964844
2000-05-08,34.708351135253906
2000-05-09,35.12251663208008
2000-05-10,37.56619644165039
2000-05-11,37.11058807373047
2000-05-12,37.64902877807617
2000-05-15,37.773284912109375
2000-05-16,38.43596267700195
2000-05-17,37.35909652709961
2000-05-18,38.394561767578125
2000-05-19,37.81471252441406
2000-05-22,38.02178955078125
2000-05-23,37.89753723144531
2000-05-24,37.69044494628906
2000-05-25,36.44791030883789
2000-05-26,35.785213470458984
2000-05-29,
2000-05-30,35.37104034423828
2000-05-31,38.187461853027344
2000-06-01,37.773284912109375
2000-06-02,39.140079498291016
2000-06-05,39.305747985839844
2000-06-06,38.601654052734375
2000-06-07,38.3531379699707
2000-06-08,37.69044494628906
2000-06-09,35.785213470458984
2000-06-12,34.95685577392578
2000-06-13,36.44791030883789
2000-06-14,36.57063674926758
2000-06-15,36.81940841674805
2000-06-16,35.741363525390625
2000-06-19,36.073081970214844
2000-06-20,36.15601348876953
2000-06-21,35.78282165527344
2000-06-22,34.82918930053711
2000-06-23,35.658451080322266
2000-06-26,35.658451080322266
2000-06-27,37.690128326416016
2000-06-28,37.14075469970703
2000-06-29,35.90721893310547
2000-06-30,38.229156494140625
2000-07-03,37.73161315917969
2000-07-04,
2000-07-05,37.814544677734375
2000-07-06,38.146236419677734
2000-07-07,40.84135437011719
2000-07-10,40.634033203125
2000-07-11,41.13161087036133
2000-07-12,40.468177795410156
2000-07-13,39.22428894042969
2000-07-14,39.473052978515625
2000-07-17,40.28159713745117
2000-07-18,39.84623336791992
2000-07-19,39.804771423339844
2000-07-20,39.804771423339844
2000-07-21,39.59746170043945
2000-07-24,38.104774475097656
2000-07-25,39.2657470703125
2000-07-26,38.97550964355469
2000-07-27,39.84623336791992
2000-07-28,38.93403625488281
2000-07-31,36.65354919433594
2000-08-01,36.15601348876953
2000-08-02,35.86575698852539
2000-08-03,35.741363525390625
2000-08-04,35.119422912597656
2000-08-07,36.57063674926758
2000-08-08,38.229156494140625
2000-08-09,35.57551956176758
2000-08-10,33.83405303955078
2000-08-11,34.580406188964844
2000-08-14,35.07795715332031
2000-08-15,34.20723342895508
2000-08-16,33.129180908203125
2000-08-17,33.17064666748047
2000-08-18,33.75111389160156
2000-08-21,32.50721740722656
2000-08-22,32.59014892578125
2000-08-23,32.59014892578125
2000-08-24,32.79746627807617
2000-08-25,33.50236511230469
2000-08-28,32.83892822265625
2000-08-29,32.79746627807617
2000-08-30,32.13405990600586
2000-08-31,31.595054626464844
2000-09-01,32.34138107299805
2000-09-04,
2000-09-05,33.00480651855469
2000-09-06,33.17064666748047
2000-09-07,33.83405303955078
2000-09-08,34.580406188964844
2000-09-11,36.073081970214844
2000-09-12,35.82429885864258
2000-09-13,35.781124114990234
2000-09-14,34.867923736572266
2000-09-15,34.53583526611328
2000-09-18,33.95470428466797
2000-09-19,33.1245231628418
2000-09-20,32.21132278442383
2000-09-21,33.20753479003906
2000-09-22,33.53962707519531
2000-09-25,32.543392181396484
2000-09-26,31.464147567749023
2000-09-27,31.962263107299805
2000-09-28,32.252830505371094
2000-09-29,31.962263107299805
2000-10-02,30.716976165771484
2000-10-03,30.426406860351562
2000-10-04,30.633960723876953
2000-10-05,30.592435836791992
2000-10-06,30.218860626220703
2000-10-09,29.96980094909668
2000-10-10,30.800003051757812
2000-10-11,30.094337463378906
2000-10-12,29.3056583404541
2000-10-13,29.88677978515625
2000-10-16,31.42264175415039
2000-10-17,30.550926208496094
2000-10-18,31.049055099487305
2000-10-19,31.754711151123047
